,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",-63.52949891902557,-63.150239995276415,-64.75467927014083,-65.53300493021938
"[45.0, 5.0, 75.0, 35.0]",-50.67985308877568,-51.20992477538206,-51.119629467004025,-51.217674160925824
"[5.0, 45.0, 35.0, 75.0]",-54.02947625830871,-54.00320658979893,-53.99390943563898,-58.319099697430296
"[45.0, 45.0, 75.0, 75.0]",-46.04989207421772,-46.20885187118794,-45.93957809176411,-46.00946099723893
"[45.0, 85.0, 75.0, 115.0]",-39.59211583788728,-40.117124953233926,-39.803323866680685,-40.05554686936117
"[45.0, 125.0, 75.0, 155.0]",-31.873084779927705,-31.992079607976414,-31.356474468096238,-31.49714998426777
"[45.0, 165.0, 75.0, 195.0]",-24.978249902756513,-24.73884052645626,-25.87023422188988,-25.286394482037952
"[85.0, 165.0, 115.0, 195.0]",-19.318353115740305,-19.138935721552965,-19.054600048296052,-19.08245617831583
"[85.0, 205.0, 115.0, 235.0]",-11.41340351454054,-10.926484346116611,31.694418958744105,-10.06372379939546
"[45.0, 205.0, 75.0, 235.0]",-16.72827790322541,-16.514280976841878,-5.783591744802341,-15.366059993626012
"[85.0, 245.0, 115.0, 275.0]",-9.886359539733915,-10.161499391150175,-10.190206146605474,-9.726303335945731
"[125.0, 205.0, 155.0, 235.0]",-5.126368015565301,-6.238321014822307,99.6141987090943,-4.9776742903289275
"[85.0, 125.0, 115.0, 155.0]",-25.9434836864818,-24.530283290396774,-19.021320909523272,-23.673181301642263
"[5.0, 205.0, 35.0, 235.0]",-22.939434565686923,-22.99511256466392,-22.371076624815757,-23.83815084850265
"[5.0, 245.0, 35.0, 275.0]",-19.2013733937266,-19.144624917533363,-19.79667623181464,-19.219732885934963
"[45.0, 245.0, 75.0, 275.0]",-14.528801764139288,-14.495582503818897,-14.432822893256679,-14.78103832024707
"[45.0, 285.0, 75.0, 315.0]",-11.951241604631273,-11.728689794728462,-11.737223945423185,-11.75900175884439
