,0.0,1.0,2.0,3.0
"[5.0, 5.0, 35.0, 35.0]",-107.3378606112,-107.3674064861,-107.4415764702,-107.3604624629
"[45.0, 5.0, 75.0, 35.0]",-85.2213709463,-85.3798806856,-85.288122927,-85.554630796
"[45.0, 45.0, 75.0, 75.0]",-73.3133523333,-72.9643512423,-72.926335707,-73.26917093
"[85.0, 5.0, 115.0, 35.0]",-67.5337050802,-67.6897772087,-67.6580087628,-68.0220965358
"[5.0, 45.0, 35.0, 75.0]",-86.305766172,-85.7103872267,-85.7175337107,-85.8332440728
"[5.0, 85.0, 35.0, 115.0]",-69.2836288992,-69.2395137006,-69.2326518631,-69.2365619428
"[5.0, 125.0, 35.0, 155.0]",-56.2000477606,-56.0036106859,-55.9315091892,-55.9954042501
"[45.0, 125.0, 75.0, 155.0]",-49.8364774279,-49.8668336676,-49.9414745487,-49.810602588
"[45.0, 85.0, 75.0, 115.0]",-61.0893421188,-61.1051293434,-61.0994615496,-61.0692875255
"[85.0, 85.0, 115.0, 115.0]",-51.7069258243,-51.4125546654,-51.5116450292,-51.6471407261
"[125.0, 85.0, 155.0, 115.0]",-42.7085028927,-42.5967268217,-42.6212538279,-42.7480831938
"[165.0, 85.0, 195.0, 115.0]",-35.0691053524,-34.9594222884,-34.9722921814,-35.0326890772
"[205.0, 85.0, 235.0, 115.0]",-28.2613789587,-28.1808781825,-28.279556577,-28.0682376533
"[205.0, 125.0, 235.0, 155.0]",-21.7427464326,-21.6304151468,-21.5850347746,-21.573801733
"[165.0, 125.0, 195.0, 155.0]",-28.0650878677,-28.0339968598,-28.0854358959,-28.1467808195
"[125.0, 125.0, 155.0, 155.0]",-35.1827138288,-35.0301366131,-35.1012732723,-35.1805929166
"[125.0, 45.0, 155.0, 75.0]",-49.773912,-49.7014910507,-49.5906085575,-49.6807817255
"[165.0, 45.0, 195.0, 75.0]",-40.938354312,-40.913107625,-41.0434953571,-41.0470412136
"[205.0, 45.0, 235.0, 75.0]",-34.028378748,-33.9617548396,-33.7212475215,-33.8896867732
"[125.0, 5.0, 155.0, 35.0]",-54.5998754627,-54.6397085396,-54.5975888953,-54.9232618516
"[85.0, 45.0, 115.0, 75.0]",-60.6229424672,-60.5672242537,-60.6321764613,-60.8540602875
"[45.0, 165.0, 75.0, 195.0]",-40.5938585269,-40.6342461981,-40.7806274757,-40.6761605914
"[5.0, 165.0, 35.0, 195.0]",-45.792193662,-45.9440135841,-45.8375376907,-45.9237071374
"[45.0, 205.0, 75.0, 235.0]",-32.7468484716,-32.8350338932,-32.7546616206,-32.8207725962
"[85.0, 205.0, 115.0, 235.0]",-27.2612926223,-27.0664908077,-27.1766322602,-27.2479359305
"[45.0, 245.0, 75.0, 275.0]",-26.9164086016,-26.7921759106,-26.7152353835,-27.0463612966
"[45.0, 285.0, 75.0, 315.0]",-22.0879212439,-22.1402011282,-22.1048173622,-22.1995078611
"[85.0, 285.0, 115.0, 315.0]",-17.0764752211,-17.1282347916,-17.048795735,-16.9902095971
"[85.0, 325.0, 115.0, 355.0]",-15.1863087718,-15.4137306274,-15.3345358054,-15.4917088606
"[45.0, 325.0, 75.0, 355.0]",-19.8528900193,-19.5858839617,-19.7595071002,-19.7577481561
"[125.0, 325.0, 155.0, 355.0]",-10.3524134099,-10.2284706671,-10.3238333369,-10.235750707
"[85.0, 245.0, 115.0, 275.0]",-21.4410002444,-21.4054908921,-21.375406518,-21.4913845142
"[5.0, 285.0, 35.0, 315.0]",-26.0836739911,-25.9527278468,-26.1825533104,-25.996205115
"[85.0, 365.0, 115.0, 395.0]",-14.8656987023,-14.7812882914,-14.6907408624,-14.6250481644
"[125.0, 285.0, 155.0, 315.0]",-10.4478441311,-10.5165035092,-10.2111195472,-10.557901796
"[165.0, 325.0, 195.0, 355.0]",-5.2619556668,-5.3891290838,-5.4280027048,-5.4843200414
"[125.0, 365.0, 155.0, 395.0]",-10.4315914334,-10.2837398371,-10.3701058905,-10.2799036055
"[125.0, 245.0, 155.0, 275.0]",-15.2863116055,-15.328769879,-15.3721890143,-15.5356261888
"[165.0, 245.0, 195.0, 275.0]",-8.4552435868,-8.4344223904,-8.5240501501,-8.6887887485
"[165.0, 205.0, 195.0, 235.0]",-13.9653512586,-13.8388751491,-13.8522150306,-14.0048888745
"[205.0, 205.0, 235.0, 235.0]",-6.5054180224,-6.6777535679,-3.3745626407,-6.7632477617
"[245.0, 205.0, 275.0, 235.0]",-2.2163635494,26.6079707005,-2.1735828328,-2.4524341874
"[245.0, 165.0, 275.0, 195.0]",-8.0449392423,-4.722609033,-7.6677206286,-7.8168280151
"[205.0, 165.0, 235.0, 195.0]",-14.0491691472,-14.0157307655,-14.0820610512,-14.1470120498
"[125.0, 205.0, 155.0, 235.0]",-20.8807550118,-20.8403506408,-20.8696583568,-20.78696199
"[125.0, 165.0, 155.0, 195.0]",-27.8345381167,-27.6420245616,-27.7728191677,-27.6741075929
"[85.0, 165.0, 115.0, 195.0]",-34.4514098289,-34.3612698465,-34.397783604,-34.3795887968
"[85.0, 125.0, 115.0, 155.0]",-42.630443764,-42.6027757051,-42.5073890128,-42.4784518994
"[165.0, 165.0, 195.0, 195.0]",-21.1486257895,-20.9079281406,-20.9000662136,-21.0015209219
"[245.0, 125.0, 275.0, 155.0]",-16.4241853627,-16.2733746041,-16.2964956564,-16.2124979764
"[245.0, 85.0, 275.0, 115.0]",-22.441774009,-22.715958368,-22.7096788595,-22.6035529303
"[285.0, 85.0, 315.0, 115.0]",-19.5276648268,-19.5286638656,-19.4116260824,-19.4148469166
"[285.0, 125.0, 315.0, 155.0]",-13.901678216,-13.8156001438,-13.6721086886,-13.8368742772
"[285.0, 165.0, 315.0, 195.0]",-6.4706593775,-6.4580497228,-6.5339289368,-6.4903579829
"[285.0, 205.0, 315.0, 235.0]",-1.4613899559,14.6505128444,-1.2955744073,-1.0348573038
"[325.0, 165.0, 355.0, 195.0]",-7.3495200545,-6.8906562607,-6.8767991192,-7.2085490096
"[325.0, 125.0, 355.0, 155.0]",-12.7268047368,-12.5746081006,-12.6683249605,-12.7254540343
"[365.0, 125.0, 395.0, 155.0]",-12.5746156205,-12.5425857519,-12.5030599281,-12.5505876612
"[365.0, 165.0, 395.0, 195.0]",-7.7759292908,-7.82972595,-7.8687473165,-7.94273595
"[365.0, 85.0, 395.0, 115.0]",-16.8815460693,-17.0120416467,-17.0318906481,-16.9050970778
"[245.0, 245.0, 275.0, 275.0]",-0.2740322287,65.6064904691,1.4714174537,-1.4664896646
"[245.0, 285.0, 275.0, 315.0]",3.2631954846,-0.008762856,97.6215589585,1.6838391997
"[205.0, 285.0, 235.0, 315.0]",-1.5084681504,-0.7911994688,51.1613054971,-0.9474679947
"[285.0, 245.0, 315.0, 275.0]",-0.6415260052,65.5387816652,-0.5252568985,0.1884744423
"[165.0, 285.0, 195.0, 315.0]",-4.035359471,-4.4190573663,10.4324221946,-3.6818100525
"[165.0, 365.0, 195.0, 395.0]",-6.1701788421,-6.0764680413,-6.1077508161,-6.1120339923
"[205.0, 365.0, 235.0, 395.0]",-2.9215003372,-2.7645305522,-2.9338035495,-2.839453029
"[245.0, 365.0, 275.0, 395.0]",-1.0483042297,-1.1193807382,-1.1977179954,-1.1372833719
"[5.0, 245.0, 35.0, 275.0]",-30.9663853575,-31.0554513293,-30.9398722372,-31.036164877
"[205.0, 245.0, 235.0, 275.0]",-2.4915269867,-2.1683610793,4.8580857796,-2.7308890795
"[205.0, 325.0, 235.0, 355.0]",0.3805058002,-1.341485372,-1.5172811818,-1.7625150276
"[245.0, 325.0, 275.0, 355.0]",9.7301656695,-0.2996898964,-0.2301604996,-0.1335685425
terminal,0,0,0,0
"[205.0, 5.0, 235.0, 35.0]",-37.107083356,-37.3887741478,-37.1611287144,-37.4799978858
"[165.0, 5.0, 195.0, 35.0]",-45.1970195916,-45.1724521203,-45.2880166917,-45.1029231265
"[245.0, 45.0, 275.0, 75.0]",-27.7478612305,-27.7260477984,-27.6847090417,-27.9326783783
"[245.0, 5.0, 275.0, 35.0]",-31.0451673222,-31.1414246166,-31.0347849321,-31.0656932215
"[285.0, 45.0, 315.0, 75.0]",-24.2807969567,-23.9692851226,-23.9533674398,-23.8227486066
"[325.0, 85.0, 355.0, 115.0]",-17.4875169558,-17.5882685512,-17.6957304748,-17.5767083622
"[325.0, 45.0, 355.0, 75.0]",-21.954809157,-21.8058335297,-21.7593999098,-21.637245653
"[365.0, 45.0, 395.0, 75.0]",-20.6432542511,-20.8387845611,-20.7890751986,-20.8237066459
"[365.0, 5.0, 395.0, 35.0]",-23.4712236498,-23.4464136532,-23.4534080619,-23.3973853979
